,id,name,city,salary_min,salary_max,salary_currency,metro,experience,skills,specializations,professional_roles,employer,published_at
20,69071925,Инженер по качеству,Санкт-Петербург,,60000.0,RUR,Василеостровская,От 3 до 6 лет,"['Управление качеством', 'Английский язык', 'ISO 9001:2008', 'ГОСТ РВ', 'Сбор и анализ информации']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,НПЦ Авиасистемы,2022-08-23T10:02:44+0300
21,68570307,Менеджер по качеству/Технолог по сварке,Санкт-Петербург,60000.0,104000.0,RUR,Парк Победы,От 3 до 6 лет,"['Грамотность', 'Контроль качества', 'ISO 9001:2008', 'Сертификация продукции', 'Управление качеством']","['Технолог, Производство и переработка зерновых', 'Технолог, Производство сахара', 'Метролог', 'Технолог', 'Технолог, Мясо- и птицепереработка']",Инженер-технолог,Балтийский Контейнер,2022-08-26T14:32:04+0300
22,68728724,"Специалист отдела стандартизации, сертификации и качества продукции",Санкт-Петербург,45000.0,,RUR,,От 1 года до 3 лет,"['Работа с большим объемом информации', 'Грамотная речь', 'оформление документации']","['Делопроизводство', 'Ввод данных', 'Архивист', 'Начальный уровень, Мало опыта', 'Секретарь']",Инженер по качеству,Апекс плюс,2022-08-27T14:16:32+0300
23,69196574,"Главный специалист отдела интегрированной системы менеджмента (ISO: 9001, 14001, 45001)",Санкт-Петербург,,,,Василеостровская,От 3 до 6 лет,"['Управление рисками', 'Ведение переговоров', 'Внутренний аудит', 'ISO 9001:2008', 'Управление качеством', 'OHSAS 18001', 'ISO 14001', 'Разработка и внедрение политик и процедур']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,РусХимАльянс,2022-08-26T09:13:14+0300
24,68107782,Главный специалист отдела интегрированной системы менеджмента (Египет),Санкт-Петербург,,,,,От 1 года до 3 лет,"['Английский язык', 'ISO 9001:2008', 'MS PowerPoint', 'Разработка инструкций', 'Управление качеством']","['Розничная торговля', 'Прямые продажи', 'Менеджер по работе с клиентами', 'Начальный уровень, Мало опыта', 'Продажи']",Другое,"ТИТАН-2, холдинг",2022-08-26T12:22:30+0300
25,69142550,Инженер по качеству,Санкт-Петербург,,,,Обухово,От 1 года до 3 лет,"['Контроль качества', 'Управление качеством', 'Производственный контроль', 'Внутренний контроль', 'ОТК']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Арман,2022-08-24T16:49:11+0300
26,68354049,Менеджер по качеству и сертификации,Санкт-Петербург,,,,Пионерская,От 1 года до 3 лет,"['ISO 9001:2008', 'Внутренний аудит', 'Управление качеством', 'Организаторские навыки', 'Работа в команде']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,ИКП,2022-08-25T14:59:33+0300
27,69049437,Руководитель отдела технического контроля,Санкт-Петербург,,,,Выборгская,От 3 до 6 лет,"['Управление качеством', 'Технический контроль производства', 'Английский язык']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Хевел,2022-08-22T16:47:20+0300
28,68869719,Главный специалист по системе менеджмента качества,Санкт-Петербург,,,,Парк Победы,От 3 до 6 лет,"['Управление качеством', 'ISO 9001:2008', 'Статистический анализ', 'MS PowerPoint', 'Разработка регламентов']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Сфера,2022-08-22T08:17:43+0300
29,54852491,Инженер по качеству (СМК),Санкт-Петербург,,,,Гражданский проспект,От 1 года до 3 лет,[],"['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Diakont,2022-08-23T12:22:48+0300
30,68199025,Начальник ОТК,Санкт-Петербург,80000.0,,RUR,Парнас,От 3 до 6 лет,[],"['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,ЭКСПРЕСС,2022-08-23T09:59:20+0300
31,68207901,Ведущий инженер отдела систем менеджмента качества и управления рисками,Санкт-Петербург,,,,,Более 6 лет,"['MS PowerPoint', 'Управление качеством', 'ISO 9001:2008', 'MS Visio', 'Подготовка презентаций', 'Сертификация', 'Контроль качества', 'Взаимодействие с государственными контролирующими органами', 'ISO 14001']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Газпром проектирование,2022-08-22T11:55:26+0300
